"_id",article,author,date,headline,url
5d04dcdfad0d019b7c5b46ff,"Media playback is unsupported on your device Media caption Carrie Lam expressed 'deep sorrow' over extradition law controversy

The Hong Kong government has suspended its highly controversial plan to allow extraditions to mainland China, Chief Executive Carrie Lam has announced.

She had previously refused to scrap the bill despite mass protests from Hong Kong residents.

""I feel deep sorrow and regret that deficiencies in our work – and various other factors – have stirred up substantial controversies,"" she said.

Protesters expressed concern at increased Chinese influence.

Ms Lam said she had heard the calls for her government to ""pause and think"".

She also admitted that the ""explanation and communication"" of the bill had not been adequate.

She said her goal was ""the greatest interests of Hong Kong"", which involved first restoring peace and order.

The government had argued the proposed extradition bill would ""plug the loopholes"" so that the city would not be a safe haven for criminals, following a murder case in Taiwan.

Ms Lam said that the urgency felt to pass the bill before the legislative year ends ""perhaps no longer exists"".

No date has been set for ""the next step forward"", she said.

Image copyright Reuters Image caption Hundreds of thousands of people have protested against the plans

Hundreds of thousands of people have protested against the bill and further demonstrations were planned for Sunday.

Critics have said the legislation would expose people in Hong Kong to China's deeply flawed justice system and lead to further erosion of the city's judicial independence.

Protest leaders said that despite Ms Lam's announcement, they would continue their demonstrations until the bill was cancelled, not just delayed.

'Striking U-turn'

Analysis by Helier Cheung, BBC News, Hong Kong

It was a striking U-turn from a leader who previously struck a defiant tone.

Mere days ago, Ms Lam had vowed to press ahead with the unpopular legislation – now she has promised to ""listen to different views from society"".

But for many protesters, the damage has already been done, and the move to delay - but not cancel - the legislation is unlikely to assuage their concerns.

One protester told me he believed the government was ""trying to divert attention away until opposition calms down - and then they'll try to re-do the whole process again"".

Others said they would still take part in a march against the proposal planned for Sunday.

""Our final goal is to cancel the law, not to pause it. I think there will still be many people coming out tomorrow,"" a student leader told me.

Hong Kong is a former British colony, but was returned to Chinese rule in 1997 under a ""one country, two systems"" deal that guarantees it a level of autonomy.

China's foreign ministry publicly backed Ms Lam after her announcement.

""The Chinese Central Government expresses its support, respect and understanding for the [Hong Kong] government's decision,"" spokesman Geng Shuang said in a statement.

Amid the international debate on Hong Kong, he also warned that its ""affairs are purely China's internal affairs that brook no interference from any country, organization or individual"".

What was the controversy about?

The changes would allow for criminal extradition requests from authorities in mainland China, Taiwan and Macau - decided on a case-by-case basis by Hong Kong courts.

It comes after a high-profile case where a Hong Kong man was accused of murdering his girlfriend on holiday in Taiwan but could not be extradited.

Media playback is unsupported on your device Media caption How Hong Kong demonstrators organised protests

Hong Kong officials, including Ms Lam, say the bill is necessary to protect the city against criminals.

But many fear the law could be used to target political opponents of the Chinese state.

Opposition activists also cite the alleged use of torture, arbitrary detentions and forced confessions in mainland China.

How did protests unfold?

A large-scale march, which organisers said drew more than one million people, was held last Sunday.

Then on Wednesday tens of thousands gathered to blockade streets around government headquarters to try to stop the second reading, or debate, of the extradition bill.

Tensions boiled over and 22 police and 60 protesters were injured. Authorities say 11 people were arrested.

The police, who used tear gas and rubber bullets, have been accused of excessive force by some rights groups.

Media playback is unsupported on your device Media caption Police use tear gas on protesters

Until Saturday's announcement, Ms Lam had not spoken publicly since she labelled the protests ""organised riots"" during a tearful address.

Media playback is unsupported on your device Media caption The BBC's Helier Cheung on why people are taking to the streets in Hong Kong

Is Hong Kong part of China?

Hong Kong was a British colony from 1841, when China ceded the island to the British after the First Opium War - which had erupted over British traders smuggling opium into China. It remained a colony until sovereignty was returned to China in 1997.

It is now part of China under a ""one country, two systems"" principle, which ensures that it keeps its own judicial independence, its own legislature and economic system.

It is what China calls a special administrative region - enjoying a great deal of autonomy that has made it a key business and media hub in the region.

But it remains subject to pressure from mainland China, and Beijing remains responsible for defence and foreign affairs.

Why are people angry about the plan?

People in Hong Kong are worried that the extradition bill could bring Hong Kong more decisively under China's control.

Hong Kong officials had said its courts would have the final say whether to grant extradition requests.

Ms Lam's government had also said suspects accused of political and religious crimes would not be extradited, insisting legally binding human rights safeguards would also be in place."," ",15 June 2019,Hong Kong extradition protests: Government suspends bill,https://www.bbc.com/news/world-asia-china-48645342
5d04dce1ad0d019b7c5b4700,"Listeria deaths prompt NHS food review

It comes as two more patients die in an outbreak linked to hospital sandwiches and salads."," ",,BBC News,https://www.bbc.com/news/uk
5d04dce2ad0d019b7c5b4701,"Former Chelsea manager Glenn Hoddle says Frank Lampard could manage the club at some stage in his career - and it might be ""the right time"" for him."," ",15 June 2019,BBC News,https://www.bbc.com/news/england/london
5d04dce5ad0d019b7c5b4702,"What happens if Mexico doesn't stem the migrant flow?

The US will deem Mexico a ""safe third country"" if immigration isn't curbed. What does that mean?"," ",,US & Canada,https://www.bbc.com/news/world/us_and_canada
5d04dce7ad0d019b7c5b4703,"AFP

The US assistant secretary of state for Africa, Tibor Nagy, has called for a credible and independent investigation into the killing of dozens of protesters by security forces in Sudan last week, calling it ""critically important"".

There has been international condemnation of Sudan's Transitional Military Council (TMC), which decided last week to scrap all existing agreements with the main opposition coalition and announced plans to hold elections within nine months.

Before that point, the military and protesters agreed a three-year transition period to civilian rule.

On Thursday, Mr Nagy met senior members of the TMC for talks in the capital, Khartoum.

He described the discussions ""as frank [and] as direct as possible, and obviously we didn’t agree on some points"".

Speaking to reporters in the Ethiopian capital on Friday, he said the US wants to see a civilian government acceptable to the Sudanese people at the end of the transitional period.

A third-party negitiator would help to break the deadlock between the military council and the opposition, Mr Nagy said.

He applauded efforts by the African Union and Ethiopia's prime minister to broker a deal, but added that ""all tools are available and remain on the table""."," ",,BBC News,https://www.bbc.com/news/world/africa
5d04dce7ad0d019b7c5b4704,"Image copyright Getty Images Image caption To break into the Soviet Union, Pepsi swapped its soft drink for vodka and even warships

Bartering is one of the oldest ways of doing business in the world.

The exchange of goods and services predates the use of money and is believed to have developed in the first human societies. Today, bartering is usually associated with countries in turmoil.

Take fisherman in Venezuela who now swap their catch for other food stuffs or medicines, because after years of hyperinflation the country's currency is now nearly worthless.

Or the bartering networks that emerged in Greece at the height of its financial crisis eight or so years ago.

However, it is not just individuals who continue to engage in bartering, it is also used by governments. And again, this is often the case when a country is facing financial woes and isolation on the world stage, such as Venezuela or Iran.

Image copyright Getty Images Image caption Iran has been swapping its oil for Indian rice - a key foodstuff for Iranians

For both countries bartering has enabled them to get around US-led economic blockades.

Bartering also continues to occasionally be used by companies, such as Indonesian aircraft maker Industri Pesawat Terbang Nusantara (IPTN) agreeing to trade two of its transport aircraft for 110,000 tonnes of Thai sticky rice back in 1996. That was all the Thai buyer had to offer.

And in an even more eye-opening historic example, back in the 1970s US giant Pepsi traded its soft drink for Soviet tomato paste, so it could enter the USSR market. Pepsi, which owned Pizza Hut at the time, spread the tomato paste across its pizzas in western Europe. It also bartered its fizzy drink for Russian vodka, and even Soviet warships, which it sold on for scrap.

Swedish chart-toppers Abba did something similar in the Soviet Union, where they earned royalties in the form of fruit, vegetables and crude oil, which were then sold on the global market.

Image copyright Getty Images Image caption Venezuela and Cuba's close ties were put in place by Hugo Chavez and Fidel Castro

Back in Iran, it has used bartering to support its economy ever since the US first imposed sanctions after the Iranian revolution of 1979. The Iranians then had to start bartering even more when tough curbs were imposed by the United Nations between 2010 and 2015.

With the UN sanctions making it impossible for Iran to buy goods on the international markets with its own currency, Tehran started offering crude oil, and gold held in vaults abroad, in exchange for basic staples like rice, cooking oil and tea.

After the 2015 nuclear deal between Iran and the five permanent members of the UN Security Council - China, France, Russia, the UK, the US - as well as Germany and the European Union, Iran was able to start trading normally again.

But last year President Trump pulled the US out of the so-called Joint Comprehensive Plan of Action, and re-imposed sanctions. This has forced Iran to return to bartering, such as reviving its old agreement with India, whereby it exchanges its oil for rice.

Using a method that is bit more complicated than a straight swap, Iran agrees to accept payment for its oil in Indian rupees. The money is paid into an Indian bank account operated by an Indian state-owned bank.

Iran then uses this to pay for rice and other Indian imports such as pharmaceuticals, with no money crossing banks or borders. It's a moot point whether this bartering violates sanctions or not, but until the US removed special waivers for Iran's main oil importers, it had become a common way to do business.

Image copyright AFP Image caption Venezuela swaps oil for Cuban workers

France, Germany and the UK set up a similar scheme earlier this year to allow companies in their countries to trade with Iran. The initiative is called the Instrument in Support of Trade Exchange, and it is limited to humanitarian goods, such as medicines and food items.

In Venezuela, it is not just goods that are bartered - it can be workers too. It sends 50,000 barrels of oil every day to Cuba. In return Cuba sends its highly trained doctors, teachers and economic advisors to work in Venezuela.

Most barter deals are struck when conventional avenues are blocked. says Michael Czinkota, an associate professor of international business at Georgetown University in Washington.

He says this is also the case for other trade deals that are not straight cash payments, which are known collectively as ""countertrades"". These can include a simple mix of barter and money, to pledges of future investment or purchases.

""The starting point for countertrades is always that something is wrong with the traditional system,"" he says. ""The companies I talk to who do countertrade say if they could do everything they do for money that would always be their first preference.""

Image copyright Getty Images Image caption Iran's Hassan Rouhani (left) and India's Narendra Modi (right) maintain close ties

Meanwhile, Shirley Mustafa, an economist at the UN's Food and Agricultural Organisation, says such deals became more common after the 2008 financial crisis.

""Some countries lost confidence in the international trading system [so they took action],"" she says.

Trading goods for other goods or services also helps governments to save precious foreign currency reserves. For this reason some countries actively seek barter or other countertrade deals, says Lindsey Shanson, editor of Countertrade and Offset magazine.

Global Trade

More from the BBC's series taking an international perspective on trade:

One such nation is Malaysia, which back in the 1990s swapped some of its abundant palm oil crop for Russian fighter aircraft. Earlier this year, it proposed doing the same thing again as it wants to modernise its defence forces, but has little spare cash.

Regarding the decision of Indonesian aircraft mater IPTN to accept Thai sticky rice as payment, economist Travis Taylor says the company simply wanted to get a deal done.

Image caption Abba were sellers of crude oil

""In that case it was really about building reputational capital [in a new market],"" says Mr Taylor, who is an associate professor of economics at Christopher Newport University in Virginia.

""No-one wants to be stuck with tonnes of sticky rice. But this company also wanted evidence that the aircraft could be sold. So they couldn't be picky.""

Prof Taylor adds that a specific type of countertrade deal called ""offset agreements"" continue to be prevalent in the global defence sector. Under these agreements defence firms agree to generate economic activity within a country over a period of time, such as buying or making components there.

Overall, he says that bartering and the other types of countertrade are here to stay, ""particularly among developing countries and during times of instability"".",Szu Ping Chan,13 June 2019,When Pepsi was swapped for Soviet warships,https://www.bbc.com/news/business-48343589
5d04dce9ad0d019b7c5b4705,"Image copyright National Oceanography Centre Image caption The Boaty McBoatface autonomous underwater vehicle is designed to run on low power

From arctic wastes to fiery volcanoes, ocean depths to distant planets, a new generation of rugged drones is going to places humans can't. But how do you make a super-tough drone?

When it sets off on its arctic explorations, the Royal Research Ship (RSS) David Attenborough will be carrying within it a full complement of autonomous flying and submersible vehicles designed to lay bare the mysteries of the polar regions.

One underwater drone or AUV (Autonomous Underwater Vehicle) that may be aboard come launch day bears the name Boaty McBoatface, the quirky moniker chosen for its mother ship in an online poll which was subsequently overruled.

Boaty is designed to dive to 6,000m (19,700 ft) where the pressure is about 600 times greater than at sea level. Less rugged vehicles would be crushed completely at those depths.

Media playback is unsupported on your device Media caption Attenborough launches 'Boaty McBoatface' polar ship

It comes equipped with a payload of sensors, imaging equipment, sonar, hydrophones and communications kit to gather data on changing deep ocean temperatures and their potential impact on climate change.

One of the toughest challenges its National Oceanography Centre designers faced was being able to build a craft that could travel long distances under the ice without needing to recharge.

Recent advances in microprocessors, much of it driven by smartphone technology, has helped change that by reducing the amount of power these drones need to run.

""The vehicle is designed to draw a very small amount of power for its propulsion systems,"" explains Dr Maaten Furlong, head of marine autonomous and robotics systems at the National Oceanography Centre.

""As a result it travels at a relatively slow speed, which in turn enables it to cover huge distances and carry out extended missions compared to vehicles that have gone before.""

Early last year, Boaty - or the Autosub Long Range (ALR) to give it its proper name - completed its first full under-ice expedition at the Filchner Ice Shelf in West Antarctica, where it spent a total of 51 hours under the Antarctic ice, travelling 108km (67 miles).

More Technology of Business

It reached depths of 944m, at one time travelling under a section of ice shelf 550m thick. GPS signals can't penetrate so far down, so navigation is tricky.

Instead, it has to use dead reckoning. By using a point of origin - such as the mother ship - it estimates the direction and distance travelled, calculating speed by bouncing sound off the seabed and measuring the echoes.

Its fibre-optic gyro-based sensor has an error rate of 0.1%, which means for every kilometre travelled it could drift one metre off course, the designers say.

But to explore even further and deeper, new navigation tech will be required. And this is under development.

Called Terrain Aided Navigation, this system essentially maps the sea floor, and these maps are loaded in to the vehicle's computer. Ultimately, the designers hope the robots will be able to ""see"" well enough to create their own maps in real time.

""A long-term ambition for the ALR family of vehicles is to deliver on the potential and the ambition to complete a full trans-Arctic mission under ice, an environment about which we know very little at this point.

""This will require the new Terrain Aided Navigation techniques being developed to be fully operational.""

Image copyright NASA Image caption Nasa's Lemur robot can climb vertical cliffs

Arctic sub-sea conditions are pretty tough, but the surface of planet Mars is even tougher, bringing with it a whole new set of design challenges.

Two devices being developed by Nasa to survey the volcanic bowels of the red planet are currently being trialled on Earth, with their designers envisaging uses much closer to home.

Lemur - short for Limbed Excursion Mechanical Utility Robot - is a four-limbed machine that can scale rock walls, gripping with hundreds of tiny hooks in each of its 16 fingers. Engineers from Nasa's Jet Propulsion Labs took Lemur on a field test in California's Death Valley in January, where it used artificial intelligence to choose a route up a cliff.

Nasa's Dr Aaron Parness says Lemur's rock-climbing abilities could be used for search and rescue operations to help disaster relief teams.

Finding claws that wouldn't wear down on the rock was a challenge.

Image copyright Getty Images Image caption Lava rock can be very abrasive and difficult to traverse for humans... and robots

""We looked at titanium, steel, carbon fibre, carbide, tool steel,"" says Dr Parness. ""We tried sewing needles to sail boat needles, syringes, lathe tools, even harvesting cactus spines.""

The winning solution? Fishing hooks.

""Turns out that industry is really good at making things sharp, strong, and durable,"" he says.

Nasa's other tough robot is Volcanobot, a relatively low-cost device designed to be lowered in to fissures and survive extreme heat.

On a trial mission to the Kilauea volcano on Hawaii, it mapped the conduits of previous eruptions to get an understanding of how that style of volcano works underground.

But building machines that can navigate over harsh terrain as well as deal with extreme temperatures has proven tough.

Volcanic rock ""is extremely sharp and hard,"" explains Dr Parness. ""If you walk a mile of two across a lava flow, the soles of your shoes will be 100% trashed.""

So Volcanotbot uses carbon-fibre infused material in its 3D-printed parts to make them stronger and more resistant to abrasion.

""It gets scratched up like crazy, but protects the electronics inside,"" he says.

While the team has created casings and materials that can withstand 300C, the weak link is the electronics inside, which ""tend to fail around 60-80C"".

""It didn't help to have a strong robot shell protecting dead robot guts!""

Image copyright Mitsubishi Heavy Industries Image caption These Japanese firefighting robots are designed to deflect extreme heat

Mitsubishi Heavy Industries in Japan has developed a team of automated firefighting robots designed to cope with extreme heat.

Equipped with GPS and laser sensors to help them navigate to the scene of the fire, a water cannon robot takes up a position then the hose extension drone drives to the water source, laying out hose along the ground.

The water cannon can then unleash its payload, squirting up to 4,000 litres per minute.

The system was put through its first trial in March at Tokyo's National Research Institute of Fire and Disaster, with its designers envisaging their use in highly volatile environments such as petro-chemical blazes.

A spokesman for the design team said the aim is for the robots to fully-autonomous in time.

Robotics expert Prof Barry Lennox says that reduced construction costs, better materials and improved sensors are driving the development of tough drones around the world.

""Over the next five to 10 years I would expect to see even more complex environments being explored,"" he says.",Mark Smith,14 June 2019,The super-tough drones and robots going where we can't,https://www.bbc.com/news/business-48620704
5d04dceaad0d019b7c5b4706,"EPA

More on those remarks by Donald Trump.

He told a news conference with Theresa May yesterday that he promised a ""phenomenal"" trade deal after the UK leaves the European Union, but added that ""everything is on the table"" - including the NHS..

What does that mean? Laura Lambie, senior investment director at Investec Wealth and Investment told Radio 5 Live's Wake Up To Money: “At the moment if you are foreign company and wanting to bid for NHS contracts you need to have a subsidiary in the UK... The implication of what Trump is saying is that need not be the case, a US company could bid for contracts and be based in the states.”

She also said there been an ""olive branch"" in terms of the controversy around Huawei - the mobile internet infrastructure company which the US says is a risk to national security."," ",,Global Trade,https://www.bbc.com/news/business-38507481
5d04dcecad0d019b7c5b4707,"Could Hong Kong lose its star status?

Hong Kong is one of the world's top financial hubs, but is this status now at risk?"," ",,Business,https://www.bbc.com/news/business
5d04dcedad0d019b7c5b4708,"Amazon executive Werner Vogels on the ethics of facial recognition

Amazon executive Werner Vogels tells the BBC's Dave Lee that the firm is can not be held responsible for how its artificial intelligence technology is used."," ",,Technology of Business,https://www.bbc.com/news/business-11428889
